,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
188,189.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99916178802948,4.99916178802948
189,190.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99937070358344,4.99937070358344
190,191.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99952770142289,4.99952770142289
191,192.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99964563967178,4.99964563967178
192,193.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99973420474243,4.99973420474243
193,194.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,4.99980069008778,4.99980069008778
194,195.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,196.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,197.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,198.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,199.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,200.0,16042.0,0.0,0.0,0.0,0.0,83807.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
