,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
134,135.0,66907.0,361.0,202.0,860.0,12.0,31596.0,4.0,58.0,0.0,91.0,115.0,27.91411042944785,1.1363636363636365,0.916445133168004,0.0360849918792575
135,136.0,66796.0,341.0,215.0,839.0,10.0,31737.0,3.0,59.0,1.0,83.0,105.0,28.135593220338983,0.0,0.940441020288254,0.0368023010266862
136,137.0,66677.0,348.0,205.0,839.0,9.0,31860.0,2.0,60.0,1.0,88.0,105.0,29.04290429042905,0.0,0.962857843425552,0.0374791907242216
137,138.0,66568.0,326.0,179.0,841.0,10.0,32015.0,1.0,60.0,0.0,94.0,101.0,30.031948881789138,0.0,0.941692172360156,0.0372527665940586
138,139.0,66460.0,320.0,179.0,812.0,9.0,32158.0,2.0,60.0,0.0,99.0,96.0,36.53136531365313,0.0,0.937665833603846,0.0373278874498769
139,140.0,66342.0,320.0,174.0,804.0,9.0,32289.0,2.0,60.0,0.0,101.0,102.0,33.223684210526315,0.0,0.910534826194845,0.0369574685359084
140,141.0,66239.0,328.0,156.0,801.0,9.0,32404.0,3.0,60.0,0.0,88.0,90.0,30.44982698961938,0.0,0.891769370268274,0.0367759489985322
141,142.0,66132.0,336.0,159.0,791.0,9.0,32511.0,2.0,60.0,0.0,99.0,99.0,29.909365558912388,0.0,0.892132409465555,0.0370437820185701
142,143.0,66022.0,321.0,162.0,768.0,9.0,32656.0,2.0,60.0,0.0,90.0,100.0,30.303030303030305,0.0,0.87412830528797,0.036971688005331
143,144.0,65931.0,302.0,152.0,754.0,10.0,32789.0,2.0,60.0,0.0,67.0,80.0,26.171875,0.0,0.874003134369644,0.0373015447920869
144,145.0,65845.0,293.0,131.0,760.0,10.0,32899.0,2.0,60.0,0.0,86.0,76.0,31.85185185185185,0.0,0.923925650121172,0.0387329781640256
145,146.0,65736.0,300.0,135.0,745.0,9.0,33011.0,4.0,60.0,0.0,75.0,101.0,25.59726962457337,1.3333333333333335,0.896648160241134,0.0385143363173085
146,147.0,65633.0,299.0,126.0,746.0,9.0,33124.0,3.0,60.0,0.0,82.0,94.0,36.44444444444444,0.0,0.92080986807191,0.0393350481044198
147,148.0,65531.0,311.0,142.0,719.0,9.0,33224.0,4.0,60.0,0.0,80.0,93.0,27.491408934707906,0.0,0.933755901291432,0.0399245193500429
148,149.0,65428.0,311.0,137.0,718.0,8.0,33334.0,2.0,62.0,2.0,78.0,98.0,35.77981651376147,1.5873015873015872,0.951729791145179,0.0405818946498255
149,150.0,65329.0,298.0,148.0,686.0,7.0,33468.0,2.0,62.0,0.0,80.0,86.0,31.00775193798449,0.0,0.948518640467809,0.0407423642205311
150,151.0,65212.0,294.0,166.0,663.0,7.0,33594.0,2.0,62.0,0.0,87.0,106.0,31.751824817518248,0.0,0.978592646671543,0.0415764175754821
151,152.0,65124.0,278.0,152.0,668.0,8.0,33706.0,2.0,62.0,0.0,59.0,79.0,23.228346456692915,0.0,0.968485085205384,0.0415234554610864
152,153.0,65011.0,281.0,158.0,659.0,9.0,33818.0,2.0,62.0,0.0,81.0,99.0,30.916030534351147,0.0,0.998879079956719,0.0422859233374456
153,154.0,64918.0,279.0,154.0,659.0,11.0,33915.0,2.0,62.0,0.0,81.0,82.0,38.75598086124402,0.0,0.960117409546766,0.0415483437591539
154,155.0,64820.0,283.0,145.0,660.0,11.0,34016.0,3.0,62.0,0.0,83.0,84.0,32.93650793650794,0.0,0.934305232658169,0.0410510151533495
155,156.0,64723.0,283.0,133.0,663.0,11.0,34121.0,4.0,62.0,0.0,70.0,91.0,27.027027027027028,0.0,0.902244615663091,0.0404712021343482
156,157.0,64618.0,290.0,130.0,659.0,11.0,34226.0,4.0,62.0,0.0,92.0,93.0,34.84848484848485,0.0,0.898912874658171,0.0406087443138467
157,158.0,64543.0,290.0,132.0,623.0,11.0,34336.0,3.0,62.0,0.0,77.0,66.0,36.66666666666666,0.0,0.852241070702748,0.0398226100057412
158,159.0,64458.0,283.0,134.0,611.0,12.0,34437.0,3.0,62.0,0.0,73.0,77.0,33.7962962962963,0.0,0.834988961952789,0.039761379140609
159,160.0,64385.0,255.0,126.0,595.0,11.0,34562.0,4.0,62.0,0.0,57.0,61.0,19.52054794520548,0.0,0.844358867334829,0.0404374558646429
160,161.0,64313.0,250.0,129.0,567.0,10.0,34664.0,5.0,62.0,0.0,65.0,64.0,25.7936507936508,0.0,0.875937502885268,0.0417113096612032
161,162.0,64234.0,240.0,133.0,568.0,9.0,34751.0,3.0,62.0,0.0,62.0,74.0,26.05042016806723,0.0,0.867106989387287,0.0420114709085195
162,163.0,64142.0,251.0,142.0,553.0,8.0,34840.0,2.0,62.0,0.0,63.0,83.0,32.64248704663213,0.0,0.926143739120823,0.0439034237745721
163,164.0,64070.0,249.0,136.0,529.0,7.0,34943.0,4.0,62.0,0.0,60.0,64.0,29.55665024630542,0.0,0.940707490792347,0.0446943616876395
164,165.0,63987.0,245.0,141.0,539.0,9.0,35013.0,4.0,62.0,0.0,60.0,74.0,30.15075376884422,0.0,0.98892074975908,0.0461588676856562
165,166.0,63907.0,238.0,140.0,523.0,10.0,35116.0,4.0,62.0,0.0,68.0,72.0,29.694323144104807,0.0,1.0031083463836,0.0467194134072794
